Student,Teacher,Gender,Ethnic,Freeredu,Score,wesson
1.0,Ruger,Female,Asian,Free lunch,76.0,Ruger_Smith
31.0,Ruger,Female,Asian,Free lunch,42.0,Ruger_Smith
41.0,Ruger,Female,Asian,Free lunch,75.0,Ruger_Smith
48.0,Ruger,Female,Asian,Free lunch,30.0,Ruger_Smith
54.0,Ruger,Female,Asian,Free lunch,30.0,Ruger_Smith
63.0,Ruger,Female,Asian,Free lunch,72.0,Ruger_Smith
67.0,Ruger,Female,Asian,Free lunch,55.0,Ruger_Smith
74.0,Smith,Male,African-American,Free lunch,62.0,Ruger_Smith
79.0,Smith,Male,African-American,Free lunch,80.0,Ruger_Smith
104.0,Smith,Male,African-American,Free lunch,77.0,Ruger_Smith
105.0,Smith,Male,African-American,Free lunch,67.0,Ruger_Smith
119.0,Smith,Male,African-American,Free lunch,95.0,Ruger_Smith
124.0,Smith,Male,African-American,Free lunch,87.0,Ruger_Smith
136.0,Smith,Male,African-American,Free lunch,60.0,Ruger_Smith
155.0,Wesson,Female,Hispanic,Free lunch,52.0,Wesson
161.0,Wesson,Female,Hispanic,Free lunch,88.0,Wesson
166.0,Wesson,Female,Hispanic,Free lunch,76.0,Wesson
169.0,Wesson,Female,Hispanic,Free lunch,53.0,Wesson
175.0,Wesson,Female,Hispanic,Free lunch,58.0,Wesson
181.0,Wesson,Female,Hispanic,Free lunch,68.0,Wesson
194.0,Wesson,Female,Hispanic,Free lunch,64.0,Wesson
200.0,Wesson,Female,Hispanic,Free lunch,83.0,Wesson
2.0,Ruger,Female,Hispanic,Paid lunch,56.0,Ruger_Smith
17.0,Ruger,Female,Hispanic,Paid lunch,72.0,Ruger_Smith
21.0,Ruger,Female,Hispanic,Paid lunch,30.0,Ruger_Smith
23.0,Ruger,Female,Hispanic,Paid lunch,73.0,Ruger_Smith
27.0,Ruger,Female,Hispanic,Paid lunch,37.0,Ruger_Smith
45.0,Ruger,Female,Hispanic,Paid lunch,52.0,Ruger_Smith
51.0,Ruger,Female,Hispanic,Paid lunch,71.0,Ruger_Smith
29.0,Ruger,Male,Hispanic,Paid lunch,32.0,Ruger_Smith
42.0,Ruger,Male,Hispanic,Paid lunch,69.0,Ruger_Smith
43.0,Ruger,Male,Hispanic,Paid lunch,74.0,Ruger_Smith
47.0,Ruger,Male,Hispanic,Paid lunch,80.0,Ruger_Smith
53.0,Ruger,Male,Hispanic,Paid lunch,50.0,Ruger_Smith
56.0,Ruger,Male,Hispanic,Paid lunch,34.0,Ruger_Smith
60.0,Ruger,Male,Hispanic,Paid lunch,54.0,Ruger_Smith
62.0,Ruger,Male,Hispanic,Paid lunch,59.0,Ruger_Smith
66.0,Ruger,Male,Hispanic,Paid lunch,33.0,Ruger_Smith
87.0,Smith,Female,Caucasian,Paid lunch,89.0,Ruger_Smith
93.0,Smith,Female,Caucasian,Paid lunch,79.0,Ruger_Smith
102.0,Smith,Female,Caucasian,Paid lunch,53.0,Ruger_Smith
103.0,Smith,Female,Caucasian,Paid lunch,83.0,Ruger_Smith
112.0,Smith,Female,Caucasian,Paid lunch,61.0,Ruger_Smith
118.0,Smith,Female,Caucasian,Paid lunch,51.0,Ruger_Smith
129.0,Smith,Female,Caucasian,Paid lunch,60.0,Ruger_Smith
133.0,Smith,Female,Caucasian,Paid lunch,95.0,Ruger_Smith
72.0,Smith,Male,Asian,Paid lunch,60.0,Ruger_Smith
84.0,Smith,Male,Asian,Paid lunch,51.0,Ruger_Smith
96.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
98.0,Smith,Male,Asian,Paid lunch,48.0,Ruger_Smith
99.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
100.0,Smith,Male,Asian,Paid lunch,95.0,Ruger_Smith
117.0,Smith,Male,Asian,Paid lunch,64.0,Ruger_Smith
120.0,Smith,Male,Asian,Paid lunch,84.0,Ruger_Smith
128.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
131.0,Smith,Male,Asian,Paid lunch,52.0,Ruger_Smith
138.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
141.0,Wesson,Male,Caucasian,Paid lunch,51.0,Wesson
193.0,Wesson,Male,Caucasian,Paid lunch,90.0,Wesson
199.0,Wesson,Male,Caucasian,Paid lunch,47.0,Wesson
202.0,Wesson,Male,Caucasian,Paid lunch,79.0,Wesson
207.0,Wesson,Male,Caucasian,Paid lunch,45.0,Wesson
208.0,Wesson,Male,Caucasian,Paid lunch,75.0,Wesson
211.0,Wesson,Male,Caucasian,Paid lunch,79.0,Wesson
3.0,*,*,*,*,34.0,*
9.0,*,*,*,*,82.0,*
18.0,*,*,*,*,60.0,*
55.0,*,*,*,*,57.0,*
61.0,*,*,*,*,56.0,*
5.0,*,*,*,*,73.0,*
8.0,*,*,*,*,40.0,*
13.0,*,*,*,*,39.0,*
32.0,*,*,*,*,58.0,*
59.0,*,*,*,*,76.0,*
77.0,*,*,*,*,69.0,*
82.0,*,*,*,*,45.0,*
92.0,*,*,*,*,91.0,*
94.0,*,*,*,*,79.0,*
107.0,*,*,*,*,57.0,*
140.0,*,*,*,*,59.0,*
180.0,*,*,*,*,87.0,*
183.0,*,*,*,*,63.0,*
186.0,*,*,*,*,83.0,*
197.0,*,*,*,*,83.0,*
210.0,*,*,*,*,72.0,*
156.0,*,*,*,*,82.0,*
160.0,*,*,*,*,93.0,*
174.0,*,*,*,*,65.0,*
178.0,*,*,*,*,82.0,*
182.0,*,*,*,*,70.0,*
201.0,*,*,*,*,53.0,*
143.0,*,*,*,*,77.0,*
149.0,*,*,*,*,89.0,*
151.0,*,*,*,*,93.0,*
159.0,*,*,*,*,73.0,*
190.0,*,*,*,*,89.0,*
146.0,*,*,*,*,62.0,*
148.0,*,*,*,*,61.0,*
163.0,*,*,*,*,79.0,*
172.0,*,*,*,*,66.0,*
184.0,*,*,*,*,52.0,*
203.0,*,*,*,*,87.0,*
152.0,*,*,*,*,70.0,*
157.0,*,*,*,*,59.0,*
162.0,*,*,*,*,63.0,*
167.0,*,*,*,*,68.0,*
187.0,*,*,*,*,45.0,*
142.0,*,*,*,*,71.0,*
147.0,*,*,*,*,59.0,*
171.0,*,*,*,*,53.0,*
185.0,*,*,*,*,72.0,*
213.0,*,*,*,*,94.0,*
10.0,*,*,*,*,78.0,*
11.0,*,*,*,*,64.0,*
46.0,*,*,*,*,36.0,*
65.0,*,*,*,*,38.0,*
68.0,*,*,*,*,51.0,*
6.0,*,*,*,*,58.0,*
30.0,*,*,*,*,64.0,*
36.0,*,*,*,*,65.0,*
38.0,*,*,*,*,50.0,*
52.0,*,*,*,*,40.0,*
89.0,*,*,*,*,85.0,*
101.0,*,*,*,*,91.0,*
111.0,*,*,*,*,48.0,*
134.0,*,*,*,*,86.0,*
139.0,*,*,*,*,71.0,*
73.0,*,*,*,*,47.0,*
76.0,*,*,*,*,50.0,*
122.0,*,*,*,*,66.0,*
126.0,*,*,*,*,74.0,*
137.0,*,*,*,*,84.0,*
78.0,*,*,*,*,72.0,*
88.0,*,*,*,*,65.0,*
90.0,*,*,*,*,80.0,*
97.0,*,*,*,*,46.0,*
132.0,*,*,*,*,48.0,*
145.0,*,*,*,*,89.0,*
165.0,*,*,*,*,91.0,*
179.0,*,*,*,*,58.0,*
191.0,*,*,*,*,64.0,*
195.0,*,*,*,*,68.0,*
150.0,*,*,*,*,61.0,*
154.0,*,*,*,*,46.0,*
168.0,*,*,*,*,85.0,*
170.0,*,*,*,*,48.0,*
204.0,*,*,*,*,89.0,*
212.0,*,*,*,*,56.0,*
164.0,*,*,*,*,57.0,*
176.0,*,*,*,*,67.0,*
177.0,*,*,*,*,57.0,*
188.0,*,*,*,*,81.0,*
214.0,*,*,*,*,91.0,*
216.0,*,*,*,*,57.0,*
15.0,*,*,*,*,66.0,*
39.0,*,*,*,*,67.0,*
37.0,*,*,*,*,36.0,*
49.0,*,*,*,*,51.0,*
50.0,*,*,*,*,65.0,*
64.0,*,*,*,*,77.0,*
24.0,*,*,*,*,44.0,*
26.0,*,*,*,*,67.0,*
44.0,*,*,*,*,32.0,*
58.0,*,*,*,*,68.0,*
16.0,*,*,*,*,68.0,*
22.0,*,*,*,*,43.0,*
25.0,*,*,*,*,39.0,*
57.0,*,*,*,*,72.0,*
14.0,*,*,*,*,48.0,*
19.0,*,*,*,*,54.0,*
28.0,*,*,*,*,67.0,*
34.0,*,*,*,*,47.0,*
86.0,*,*,*,*,72.0,*
110.0,*,*,*,*,68.0,*
91.0,*,*,*,*,65.0,*
115.0,*,*,*,*,84.0,*
83.0,*,*,*,*,82.0,*
108.0,*,*,*,*,69.0,*
109.0,*,*,*,*,92.0,*
80.0,*,*,*,*,85.0,*
123.0,*,*,*,*,76.0,*
130.0,*,*,*,*,65.0,*
85.0,*,*,*,*,49.0,*
125.0,*,*,*,*,73.0,*
127.0,*,*,*,*,60.0,*
153.0,*,*,*,*,61.0,*
209.0,*,*,*,*,58.0,*
7.0,*,*,*,*,62.0,*
35.0,*,*,*,*,39.0,*
40.0,*,*,*,*,74.0,*
71.0,*,*,*,*,52.0,*
4.0,*,*,*,*,59.0,*
12.0,*,*,*,*,68.0,*
69.0,*,*,*,*,69.0,*
20.0,*,*,*,*,34.0,*
33.0,*,*,*,*,33.0,*
70.0,*,*,*,*,48.0,*
81.0,*,*,*,*,68.0,*
114.0,*,*,*,*,91.0,*
75.0,*,*,*,*,55.0,*
106.0,*,*,*,*,52.0,*
95.0,*,*,*,*,62.0,*
116.0,*,*,*,*,71.0,*
121.0,*,*,*,*,79.0,*
135.0,*,*,*,*,82.0,*
189.0,*,*,*,*,65.0,*
215.0,*,*,*,*,53.0,*
144.0,*,*,*,*,85.0,*
192.0,*,*,*,*,85.0,*
198.0,*,*,*,*,93.0,*
205.0,*,*,*,*,56.0,*
158.0,*,*,*,*,78.0,*
173.0,*,*,*,*,83.0,*
196.0,*,*,*,*,84.0,*
206.0,*,*,*,*,83.0,*
113.0,*,*,*,*,57.0,*
NULL,*,*,*,*,NULL,*
