age,education,occupation,relationship,sex,native-country,salary-class
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
17,11th,Handlers-cleaners,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Female,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
18,11th,Other-service,Own-child,Male,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
17,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
18,11th,Sales,Own-child,Female,United-States,<=50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
32,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
33,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
34,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
35,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
36,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
37,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
38,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
39,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
41,Bachelors,Exec-managerial,Husband,Male,United-States,>50K
41,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
41,Bachelors,Exec-managerial,Husband,Male,United-States,<=50K
