age,education,occupation,relationship,sex,native-country,salary-class
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Female,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Other-service,Own-child,Male,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,10th,Sales,Own-child,Female,United-States,<=50K
17,11th,?,Own-child,Female,United-States,<=50K
