age,education,occupation,relationship,sex,native-country,salary-class
29,10th,Craft-repair,Husband,Male,United-States,<=50K
29,10th,Craft-repair,Husband,Male,United-States,<=50K
29,10th,Craft-repair,Husband,Male,United-States,>50K
34,10th,Craft-repair,Husband,Male,United-States,>50K
34,10th,Craft-repair,Husband,Male,United-States,<=50K
34,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,>50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
50,10th,Craft-repair,Husband,Male,United-States,<=50K
50,10th,Craft-repair,Husband,Male,United-States,>50K
50,10th,Craft-repair,Husband,Male,United-States,>50K
50,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,>50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
53,10th,Craft-repair,Husband,Male,United-States,<=50K
53,10th,Craft-repair,Husband,Male,United-States,>50K
53,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,>50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,>50K
58,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Craft-repair,Husband,Male,United-States,>50K
58,10th,Craft-repair,Husband,Male,United-States,>50K
59,10th,Craft-repair,Husband,Male,United-States,<=50K
59,10th,Craft-repair,Husband,Male,United-States,>50K
59,10th,Craft-repair,Husband,Male,United-States,>50K
59,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Transport-moving,Husband,Male,United-States,<=50K
58,10th,Transport-moving,Husband,Male,United-States,>50K
58,10th,Transport-moving,Husband,Male,United-States,>50K
58,10th,Transport-moving,Husband,Male,United-States,<=50K
59,10th,Transport-moving,Husband,Male,United-States,>50K
59,10th,Transport-moving,Husband,Male,United-States,>50K
59,10th,Transport-moving,Husband,Male,United-States,>50K
59,10th,Transport-moving,Husband,Male,United-States,<=50K
24,11th,Craft-repair,Husband,Male,United-States,<=50K
24,11th,Craft-repair,Husband,Male,United-States,>50K
24,11th,Craft-repair,Husband,Male,United-States,<=50K
27,11th,Craft-repair,Husband,Male,United-States,<=50K
27,11th,Craft-repair,Husband,Male,United-States,>50K
27,11th,Craft-repair,Husband,Male,United-States,<=50K
28,11th,Craft-repair,Husband,Male,United-States,>50K
28,11th,Craft-repair,Husband,Male,United-States,<=50K
28,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,<=50K
36,11th,Craft-repair,Husband,Male,United-States,>50K
37,11th,Craft-repair,Husband,Male,United-States,<=50K
37,11th,Craft-repair,Husband,Male,United-States,>50K
37,11th,Craft-repair,Husband,Male,United-States,<=50K
37,11th,Craft-repair,Husband,Male,United-States,<=50K
38,11th,Craft-repair,Husband,Male,United-States,<=50K
38,11th,Craft-repair,Husband,Male,United-States,<=50K
38,11th,Craft-repair,Husband,Male,United-States,>50K
38,11th,Craft-repair,Husband,Male,United-States,<=50K
38,11th,Craft-repair,Husband,Male,United-States,<=50K
64,11th,Craft-repair,Husband,Male,United-States,<=50K
64,11th,Craft-repair,Husband,Male,United-States,>50K
64,11th,Craft-repair,Husband,Male,United-States,<=50K
23,11th,Transport-moving,Husband,Male,United-States,>50K
23,11th,Transport-moving,Husband,Male,United-States,<=50K
23,11th,Transport-moving,Husband,Male,United-States,<=50K
38,12th,Craft-repair,Husband,Male,United-States,>50K
38,12th,Craft-repair,Husband,Male,United-States,>50K
38,12th,Craft-repair,Husband,Male,United-States,<=50K
62,7th-8th,?,Husband,Male,United-States,<=50K
62,7th-8th,?,Husband,Male,United-States,>50K
62,7th-8th,?,Husband,Male,United-States,<=50K
47,7th-8th,Craft-repair,Husband,Male,United-States,>50K
47,7th-8th,Craft-repair,Husband,Male,United-States,<=50K
47,7th-8th,Craft-repair,Husband,Male,United-States,<=50K
56,7th-8th,Craft-repair,Husband,Male,United-States,>50K
56,7th-8th,Craft-repair,Husband,Male,United-States,<=50K
56,7th-8th,Craft-repair,Husband,Male,United-States,<=50K
63,7th-8th,Farming-fishing,Husband,Male,United-States,<=50K
63,7th-8th,Farming-fishing,Husband,Male,United-States,>50K
63,7th-8th,Farming-fishing,Husband,Male,United-States,>50K
54,7th-8th,Machine-op-inspct,Husband,Male,United-States,>50K
54,7th-8th,Machine-op-inspct,Husband,Male,United-States,<=50K
54,7th-8th,Machine-op-inspct,Husband,Male,United-States,<=50K
58,7th-8th,Transport-moving,Husband,Male,United-States,<=50K
58,7th-8th,Transport-moving,Husband,Male,United-States,<=50K
58,7th-8th,Transport-moving,Husband,Male,United-States,>50K
51,9th,Craft-repair,Husband,Male,United-States,<=50K
51,9th,Craft-repair,Husband,Male,United-States,>50K
