Student,Teacher,Gender,Ethnic,Freeredu,Score,wesson
74.0,Smith,Male,African-American,Free lunch,62.0,Ruger_Smith
79.0,Smith,Male,African-American,Free lunch,80.0,Ruger_Smith
104.0,Smith,Male,African-American,Free lunch,77.0,Ruger_Smith
105.0,Smith,Male,African-American,Free lunch,67.0,Ruger_Smith
119.0,Smith,Male,African-American,Free lunch,95.0,Ruger_Smith
124.0,Smith,Male,African-American,Free lunch,87.0,Ruger_Smith
136.0,Smith,Male,African-American,Free lunch,60.0,Ruger_Smith
155.0,Wesson,Female,Hispanic,Free lunch,52.0,Wesson
161.0,Wesson,Female,Hispanic,Free lunch,88.0,Wesson
166.0,Wesson,Female,Hispanic,Free lunch,76.0,Wesson
169.0,Wesson,Female,Hispanic,Free lunch,53.0,Wesson
175.0,Wesson,Female,Hispanic,Free lunch,58.0,Wesson
181.0,Wesson,Female,Hispanic,Free lunch,68.0,Wesson
194.0,Wesson,Female,Hispanic,Free lunch,64.0,Wesson
200.0,Wesson,Female,Hispanic,Free lunch,83.0,Wesson
2.0,Ruger,Female,Hispanic,Paid lunch,56.0,Ruger_Smith
17.0,Ruger,Female,Hispanic,Paid lunch,72.0,Ruger_Smith
21.0,Ruger,Female,Hispanic,Paid lunch,30.0,Ruger_Smith
23.0,Ruger,Female,Hispanic,Paid lunch,73.0,Ruger_Smith
27.0,Ruger,Female,Hispanic,Paid lunch,37.0,Ruger_Smith
45.0,Ruger,Female,Hispanic,Paid lunch,52.0,Ruger_Smith
51.0,Ruger,Female,Hispanic,Paid lunch,71.0,Ruger_Smith
29.0,Ruger,Male,Hispanic,Paid lunch,32.0,Ruger_Smith
42.0,Ruger,Male,Hispanic,Paid lunch,69.0,Ruger_Smith
43.0,Ruger,Male,Hispanic,Paid lunch,74.0,Ruger_Smith
47.0,Ruger,Male,Hispanic,Paid lunch,80.0,Ruger_Smith
53.0,Ruger,Male,Hispanic,Paid lunch,50.0,Ruger_Smith
56.0,Ruger,Male,Hispanic,Paid lunch,34.0,Ruger_Smith
60.0,Ruger,Male,Hispanic,Paid lunch,54.0,Ruger_Smith
62.0,Ruger,Male,Hispanic,Paid lunch,59.0,Ruger_Smith
66.0,Ruger,Male,Hispanic,Paid lunch,33.0,Ruger_Smith
87.0,Smith,Female,Caucasian,Paid lunch,89.0,Ruger_Smith
93.0,Smith,Female,Caucasian,Paid lunch,79.0,Ruger_Smith
102.0,Smith,Female,Caucasian,Paid lunch,53.0,Ruger_Smith
103.0,Smith,Female,Caucasian,Paid lunch,83.0,Ruger_Smith
112.0,Smith,Female,Caucasian,Paid lunch,61.0,Ruger_Smith
118.0,Smith,Female,Caucasian,Paid lunch,51.0,Ruger_Smith
129.0,Smith,Female,Caucasian,Paid lunch,60.0,Ruger_Smith
133.0,Smith,Female,Caucasian,Paid lunch,95.0,Ruger_Smith
72.0,Smith,Male,Asian,Paid lunch,60.0,Ruger_Smith
84.0,Smith,Male,Asian,Paid lunch,51.0,Ruger_Smith
96.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
98.0,Smith,Male,Asian,Paid lunch,48.0,Ruger_Smith
99.0,Smith,Male,Asian,Paid lunch,87.0,Ruger_Smith
100.0,Smith,Male,Asian,Paid lunch,95.0,Ruger_Smith
117.0,Smith,Male,Asian,Paid lunch,64.0,Ruger_Smith
120.0,Smith,Male,Asian,Paid lunch,84.0,Ruger_Smith
128.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
131.0,Smith,Male,Asian,Paid lunch,52.0,Ruger_Smith
138.0,Smith,Male,Asian,Paid lunch,53.0,Ruger_Smith
