Student,Teacher,Gender,Ethnic,Freeredu,Score,wesson
1.0,Ruger,Female,Asian,Free lunch,76.0,Ruger_Smith
2.0,Ruger,Female,Hispanic,Paid lunch,56.0,Ruger_Smith
3.0,Ruger,Female,African-American,Free lunch,34.0,Ruger_Smith
4.0,Ruger,Female,Asian,Paid lunch,59.0,Ruger_Smith
5.0,Ruger,Male,Hispanic,Free lunch,73.0,Ruger_Smith
6.0,Ruger,Male,Caucasian,Paid lunch,58.0,Ruger_Smith
7.0,Ruger,Female,African-American,Paid lunch,62.0,Ruger_Smith
8.0,Ruger,Male,Hispanic,Free lunch,40.0,Ruger_Smith
9.0,Ruger,Female,African-American,Free lunch,82.0,Ruger_Smith
10.0,Ruger,Male,African-American,Paid lunch,78.0,Ruger_Smith
11.0,Ruger,Male,African-American,Paid lunch,64.0,Ruger_Smith
12.0,Ruger,Female,Asian,Paid lunch,68.0,Ruger_Smith
13.0,Ruger,Male,Hispanic,Free lunch,39.0,Ruger_Smith
14.0,Ruger,Male,Caucasian,Free lunch,48.0,Ruger_Smith
15.0,Ruger,Female,Caucasian,Free lunch,66.0,Ruger_Smith
16.0,Ruger,Male,Asian,Free lunch,68.0,Ruger_Smith
17.0,Ruger,Female,Hispanic,Paid lunch,72.0,Ruger_Smith
18.0,Ruger,Female,African-American,Free lunch,60.0,Ruger_Smith
19.0,Ruger,Male,Caucasian,Free lunch,54.0,Ruger_Smith
20.0,Ruger,Male,Asian,Paid lunch,34.0,Ruger_Smith
21.0,Ruger,Female,Hispanic,Paid lunch,30.0,Ruger_Smith
22.0,Ruger,Male,Asian,Free lunch,43.0,Ruger_Smith
23.0,Ruger,Female,Hispanic,Paid lunch,73.0,Ruger_Smith
24.0,Ruger,Male,African-American,Free lunch,44.0,Ruger_Smith
25.0,Ruger,Male,Asian,Free lunch,39.0,Ruger_Smith
26.0,Ruger,Male,African-American,Free lunch,67.0,Ruger_Smith
27.0,Ruger,Female,Hispanic,Paid lunch,37.0,Ruger_Smith
28.0,Ruger,Male,Caucasian,Free lunch,67.0,Ruger_Smith
29.0,Ruger,Male,Hispanic,Paid lunch,32.0,Ruger_Smith
30.0,Ruger,Male,Caucasian,Paid lunch,64.0,Ruger_Smith
31.0,Ruger,Female,Asian,Free lunch,42.0,Ruger_Smith
32.0,Ruger,Male,Hispanic,Free lunch,58.0,Ruger_Smith
33.0,Ruger,Male,Asian,Paid lunch,33.0,Ruger_Smith
34.0,Ruger,Male,Caucasian,Free lunch,47.0,Ruger_Smith
35.0,Ruger,Female,African-American,Paid lunch,39.0,Ruger_Smith
36.0,Ruger,Male,Caucasian,Paid lunch,65.0,Ruger_Smith
37.0,Ruger,Female,Hispanic,Free lunch,36.0,Ruger_Smith
38.0,Ruger,Male,Caucasian,Paid lunch,50.0,Ruger_Smith
39.0,Ruger,Female,Caucasian,Free lunch,67.0,Ruger_Smith
40.0,Ruger,Female,African-American,Paid lunch,74.0,Ruger_Smith
41.0,Ruger,Female,Asian,Free lunch,75.0,Ruger_Smith
42.0,Ruger,Male,Hispanic,Paid lunch,69.0,Ruger_Smith
43.0,Ruger,Male,Hispanic,Paid lunch,74.0,Ruger_Smith
44.0,Ruger,Male,African-American,Free lunch,32.0,Ruger_Smith
45.0,Ruger,Female,Hispanic,Paid lunch,52.0,Ruger_Smith
46.0,Ruger,Male,African-American,Paid lunch,36.0,Ruger_Smith
47.0,Ruger,Male,Hispanic,Paid lunch,80.0,Ruger_Smith
48.0,Ruger,Female,Asian,Free lunch,30.0,Ruger_Smith
49.0,Ruger,Female,Hispanic,Free lunch,51.0,Ruger_Smith
50.0,Ruger,Female,Hispanic,Free lunch,65.0,Ruger_Smith
51.0,Ruger,Female,Hispanic,Paid lunch,71.0,Ruger_Smith
52.0,Ruger,Male,Caucasian,Paid lunch,40.0,Ruger_Smith
53.0,Ruger,Male,Hispanic,Paid lunch,50.0,Ruger_Smith
54.0,Ruger,Female,Asian,Free lunch,30.0,Ruger_Smith
55.0,Ruger,Female,African-American,Free lunch,57.0,Ruger_Smith
56.0,Ruger,Male,Hispanic,Paid lunch,34.0,Ruger_Smith
57.0,Ruger,Male,Asian,Free lunch,72.0,Ruger_Smith
58.0,Ruger,Male,African-American,Free lunch,68.0,Ruger_Smith
59.0,Ruger,Male,Hispanic,Free lunch,76.0,Ruger_Smith
60.0,Ruger,Male,Hispanic,Paid lunch,54.0,Ruger_Smith
61.0,Ruger,Female,African-American,Free lunch,56.0,Ruger_Smith
62.0,Ruger,Male,Hispanic,Paid lunch,59.0,Ruger_Smith
63.0,Ruger,Female,Asian,Free lunch,72.0,Ruger_Smith
64.0,Ruger,Female,Hispanic,Free lunch,77.0,Ruger_Smith
65.0,Ruger,Male,African-American,Paid lunch,38.0,Ruger_Smith
66.0,Ruger,Male,Hispanic,Paid lunch,33.0,Ruger_Smith
67.0,Ruger,Female,Asian,Free lunch,55.0,Ruger_Smith
68.0,Ruger,Male,African-American,Paid lunch,51.0,Ruger_Smith
69.0,Ruger,Female,Asian,Paid lunch,69.0,Ruger_Smith
70.0,Ruger,Male,Asian,Paid lunch,48.0,Ruger_Smith
71.0,Ruger,Female,African-American,Paid lunch,52.0,Ruger_Smith
72.0,Smith,Male,Asian,Paid lunch,60.0,Ruger_Smith
73.0,Smith,Female,Hispanic,Paid lunch,47.0,Ruger_Smith
74.0,Smith,Male,African-American,Free lunch,62.0,Ruger_Smith
75.0,Smith,Male,Caucasian,Paid lunch,55.0,Ruger_Smith
76.0,Smith,Female,Hispanic,Paid lunch,50.0,Ruger_Smith
77.0,Smith,Male,Hispanic,Free lunch,69.0,Ruger_Smith
78.0,Smith,Male,African-American,Paid lunch,72.0,Ruger_Smith
79.0,Smith,Male,African-American,Free lunch,80.0,Ruger_Smith
80.0,Smith,Male,Asian,Free lunch,85.0,Ruger_Smith
81.0,Smith,Female,African-American,Paid lunch,68.0,Ruger_Smith
82.0,Smith,Male,Hispanic,Free lunch,45.0,Ruger_Smith
83.0,Smith,Female,Hispanic,Free lunch,82.0,Ruger_Smith
84.0,Smith,Male,Asian,Paid lunch,51.0,Ruger_Smith
