age,education,occupation,relationship,sex,native-country,salary-class
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
17,10th,?,Own-child,Female,United-States,<=50K
28,10th,?,Not-in-family,Male,United-States,<=50K
28,10th,?,Not-in-family,Male,United-States,<=50K
28,10th,?,Not-in-family,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
17,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
18,10th,?,Own-child,Male,United-States,<=50K
44,10th,Adm-clerical,Unmarried,Female,United-States,<=50K
44,10th,Adm-clerical,Unmarried,Female,United-States,<=50K
44,10th,Adm-clerical,Unmarried,Female,United-States,<=50K
28,10th,Craft-repair,Husband,Male,United-States,<=50K
28,10th,Craft-repair,Husband,Male,United-States,<=50K
28,10th,Craft-repair,Husband,Male,United-States,<=50K
29,10th,Craft-repair,Husband,Male,United-States,<=50K
29,10th,Craft-repair,Husband,Male,United-States,<=50K
29,10th,Craft-repair,Husband,Male,United-States,>50K
30,10th,Craft-repair,Husband,Male,United-States,<=50K
30,10th,Craft-repair,Husband,Male,United-States,<=50K
30,10th,Craft-repair,Husband,Male,United-States,<=50K
34,10th,Craft-repair,Husband,Male,United-States,>50K
34,10th,Craft-repair,Husband,Male,United-States,<=50K
34,10th,Craft-repair,Husband,Male,United-States,<=50K
36,10th,Craft-repair,Husband,Male,United-States,<=50K
36,10th,Craft-repair,Husband,Male,United-States,<=50K
36,10th,Craft-repair,Husband,Male,United-States,<=50K
37,10th,Craft-repair,Husband,Male,United-States,<=50K
37,10th,Craft-repair,Husband,Male,United-States,<=50K
37,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,>50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
39,10th,Craft-repair,Husband,Male,United-States,<=50K
40,10th,Craft-repair,Husband,Male,United-States,<=50K
40,10th,Craft-repair,Husband,Male,United-States,<=50K
40,10th,Craft-repair,Husband,Male,United-States,<=50K
42,10th,Craft-repair,Husband,Male,United-States,<=50K
42,10th,Craft-repair,Husband,Male,United-States,<=50K
42,10th,Craft-repair,Husband,Male,United-States,<=50K
45,10th,Craft-repair,Husband,Male,United-States,<=50K
45,10th,Craft-repair,Husband,Male,United-States,<=50K
45,10th,Craft-repair,Husband,Male,United-States,<=50K
45,10th,Craft-repair,Husband,Male,United-States,<=50K
50,10th,Craft-repair,Husband,Male,United-States,<=50K
50,10th,Craft-repair,Husband,Male,United-States,>50K
50,10th,Craft-repair,Husband,Male,United-States,>50K
50,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,>50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
52,10th,Craft-repair,Husband,Male,United-States,<=50K
53,10th,Craft-repair,Husband,Male,United-States,<=50K
53,10th,Craft-repair,Husband,Male,United-States,>50K
53,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,>50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,<=50K
55,10th,Craft-repair,Husband,Male,United-States,>50K
57,10th,Craft-repair,Husband,Male,United-States,<=50K
57,10th,Craft-repair,Husband,Male,United-States,<=50K
57,10th,Craft-repair,Husband,Male,United-States,<=50K
57,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Craft-repair,Husband,Male,United-States,<=50K
58,10th,Craft-repair,Husband,Male,United-States,<=50K
